Song Title,Row Done?,Song FileLinks,Cover Art File Links,Snippet File Links,Studio Session File Links,Era,Date Released,Date Leaked,Date Recorded,Produced by,Features
4:00 am | 4am | 400am | 4 | four am | crack addict | give me my fix,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1017893842701258903/Give_Me_My_Fix.m4a,https://media.discordapp.net/attachments/1016936737261490237/1017281799543599194/Give_Me_My_Fix5.jpeg|https://media.discordapp.net/attachments/1016936737261490237/1017281799908511785/give_me_my_fix4.jpeg?width=1366&height=1366|https://media.discordapp.net/attachments/1016936737261490237/1017281800793509908/Give_Me_My_Fix3.jpeg?width=1366&height=1366|https://media.discordapp.net/attachments/1016936737261490237/1017281801275846757/Give_me_my_fix2.jpeg|https://media.discordapp.net/attachments/1016936737261490237/1017281801598812191/Give_me_my_fix.jpeg|https://media.discordapp.net/attachments/1016936737261490237/1017281802014044230/Crack_Addict_1.jpeg?width=1366&height=1366|https://media.discordapp.net/attachments/1016936737261490237/1017281802567700511/Crack_addict.jpeg,https://cdn.discordapp.com/attachments/1016936737261490237/1017280737017339965/Give_Me_My_Fix.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1017280737331904583/Give_Me_My_Fix-2.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1017280738107867176/Give_Me_My_Fix-3.mp4,,DRFL,unreleased,"August 25, 2020.","December [?], 2018.",Nick Mira,
5:00 am | 5am | 500am | 5 | five am,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1017705254562840607/5AM_I_m_Cool.m4a,,,,,,,,,
6 | six,FALSE,,,,,,,,,,
67 | sixty seven,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287038672191538/67.m4a,,,,,,,,,
70s | seventies | seventys | the 70s | the seventies | the seventys,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287236882415707/The_70s.m4a,,,,,,,,,
734 | seven three four | seven hundred thirty four,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1017274824327958699/Think_Too_Much.mp3 | https://cdn.discordapp.com/attachments/1016936737261490237/1017274834780160092/7.3.4_Version_1.mp3 | https://cdn.discordapp.com/attachments/1016936737261490237/1017274847417614416/7.3.4_Version_2.mp3 | https://cdn.discordapp.com/attachments/1016936737261490237/1017274871161573386/Juice_WRLD_-_734_OG.mp3 | https://cdn.discordapp.com/attachments/1016936737261490237/1017275511896023091/734_Think_Too_Much_OG.wav ,,,,,,,,,
7am freestyle | 7:00 am freestyle | seven am freestyle,FALSE,,,,,,,,,,
8 min freestyle | feel real | 8 minute freestyle | eight minute freestyle | eight min freestyle,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287743545933864/8_Minute_Freestyle.m4a,,,,,,,,,
808 freestyle | split my brains | eight o eight freestyle | eight zero eight freestyle,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287794787749909/Split_My_Brain_808_Freestye.m4a,,,,,,,,,
9 minute freestyle | 9 min freestyle | nine min freestyle,FALSE,,,,,,,,,,
90210 | speed demon,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287866124484628/Speed_Demon.m4a,,,,,,,,,
999,FALSE,https://cdn.discordapp.com/attachments/1021247119425798157/1021287947577868318/999.m4a,,,,,,,,,
abyss | real right,FALSE,,,,,,,,,,
abyss | the party never ends | no bystanders og | no bystanders | no bystanders v2,FALSE,,,,,,,,,,
abyss interlude | abyss,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1016963050357674055/Aint_Talking_Toronto_ft._GDo.m4a,,,,,,,,,
act right,FALSE,,,,,,,,,,
addicted | love and drugs,FALSE,,,,,,,,,,
